,time (ps),x,y,z,px,py,pz,Wavelength (nm)
0,3.31874,-0.0779061,100.792,1008.46,0.034681,0.0627981,0.997423,441.6678801070775
1,3.31874,-0.0852622,102.406,1024.62,0.0312938,0.138953,0.989804,383.3919632384222
2,3.31874,-0.102064,106.092,1061.52,0.011368,0.149032,0.988767,309.2329013876075
3,3.31874,-0.0738661,99.906,999.593,-0.0480831,0.11825,0.991819,319.4418106586019
4,3.31874,-0.0926797,104.033,1040.91,0.0246032,0.143381,0.989362,397.1613660608145
5,3.31874,-0.0784356,100.908,1009.63,0.0184089,0.0522117,0.998466,395.04833476703516
6,3.31874,-0.149218,116.437,1165.07,0.0236475,0.144059,0.989287,363.96167509609995
7,3.31874,-0.158338,118.438,1185.09,-0.0296983,0.140931,0.989574,360.53614598280615
8,3.31874,-0.0792966,101.097,1011.52,-0.0403188,0.0681089,0.996863,476.3835106658406
9,3.31874,-0.104399,106.604,1066.64,0.00247168,0.0478558,0.998851,270.5980936414827
10,3.31874,-0.136313,113.606,1136.73,0.0439212,0.0743342,0.996266,383.72751894873835
11,3.31874,-0.122911,110.665,1107.29,-0.0439221,0.125615,0.991106,402.6323520971465
