1.000000000000000000e+00,1.978044509887695243e-02,5.607190132141113420e-02,8.485283851623535156e-01
1.000000000000000000e+01,1.936111450195312361e-02,5.309574604034424106e-02,1.049047136306762606e+00
1.000000000000000000e+02,2.888579368591308663e-02,7.119491100311278742e-02,1.225476455688476518e+00
1.000000000000000000e+03,1.932477951049804688e-02,4.470925331115722934e-02,8.123323678970336692e-01
1.000000000000000000e+04,2.192444801330566476e-02,5.377616882324218889e-02,9.610966920852661577e-01
1.000000000000000000e+05,3.175868988037109514e-02,7.066752910614013117e-02,1.037675070762634322e+00
1.000000000000000000e+06,1.672561883926391713e-01,2.040284633636474665e-01,1.135952997207641646e+00
1.000000000000000000e+07,7.786815166473388672e-01,8.227706670761107954e-01,1.780820298194885298e+00
1.869004000000000000e+07,2.066783022880554377e+00,2.117531561851501376e+00,3.189863014221191229e+00
1.869004000000000000e+07,2.178409934043884277e+00,2.264196181297302157e+00,3.304263281822204412e+00
